16.743332	-38.76394	NCc1ccccc1,CC(=O)NCC(=O)O,CC(C)CC=O,[C-]#[N+]C1CCCCC1	CC(=O)NCC(=O)N(Cc1ccccc1)C(CC(C)C)C(=O)NC1CCCCC1	MCR	Ugi reaction	"10.1002/anie.196200081 Ugi, I. (1962). ""The α-Addition of Immonium Ions and Anions to Isonitriles Accompanied by Secondary Reactions"". Angewandte Chemie International Edition in English. 1 (1): 8-21."
-18.17348	16.953413	O=Cc1ccccc1,CCOC(=O)CC(C)=O,NC(N)=O	CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1	MCR	Biginelli Reaction	Biginelli, P. (1891). 24(1), 1317-1319. doi; 10.1002/cber.189102401228
0.8428233	11.140532	CC=O,[C-]#N,N	CC(N)C#N	MCR	Strecker synthesis	A. Strecker, Justus Liebigs Ann. Chem., 1850, 75, 27. doi; 10.1002/jlac.18500750103.
-16.335857	15.166583	CCOC(=O)CC(C)=O,CC=O,N	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C	MCR	Hantzsch dihydropyridine snthesis	A. Hantzsch; Ber. Dtsch. Chem. Ges., 1881, 14, 1637-1638. doi; 10.1002/cber.18810140214
-41.649136	10.802732	[C-]#N,O=C1CCCCC1,N,N,O=C([O-])[O-]	O=C1NC(=O)C2(CCCCC2)N1	MCR	Bucherer-Bergs reaction	Bucherer, H. Th., & Lieb, V. A. (1934) Journal F-r Praktische Chemie, 141, 5. doi; 10.1021/cr60145a001
28.318121	-12.2648535	CNC,C=O,CCC(C)=O	CC(=O)C(C)CN(C)C	MCR	Mannich Reaction	10.1002/ardp.19272653802 Archiv der Pharmazie, 1927, p. 591
23.691607	17.518522	Oc1ccc2ccccc2c1,O=Cc1ccccc1,Nc1ccccc1	Oc1ccc2ccccc2c1C(Nc1ccccc1)c1ccccc1	MCR	Betti Reaction	Cardellicchio, C.; Capozzi, M.A.M.; Naso, F. 2010, 21, 507-517. doi:10.1016/j.tetasy.2010.03.020
26.30573	17.469172	CCCN,O=Cc1ccccc1,CCO[PH](=O)OCC	CCCNC(c1ccccc1)P(=O)(OCC)OCC	MCR	Kabachnik-Fields reaction	Molecules 2012, 17(11), 12821-12835. doi; 10.3390/molecules171112821
-0.6389248	38.62085	CCC(C)=O,CCOC(=O)CC#N,S1SSSSSSS1	CCOC(=O)c1c(N)sc(C)c1C	MCR	Gewald reaction	Gewald, K., Schinke, E., & Böttcher, H. (1966). Chemische Berichte, 99(1), 94-100. DOI: 10.1002/cber.19660990116
-17.94674	3.5459642	[N-]=[N+]=CC(=O)c1ccccc1,NCc1ccccc1,O=Cc1cccs1	O=C1C(c2ccccc2)C(c2cccs2)N1Cc1ccccc1	MCR	Staudinger 3CR. / photoinduced Staudinger synthesis of β-lactams.	10.1002/ejoc.202100577 Eur. J. Org. Chem. 2021, 3270-3273
-42.668476	3.639048	S1SSSSSSS1,N,O=C1CCCCC1,O=C1CCCCC1	C1CCC2(CC1)N=C1CCCCC1S2	MCR	Asinger reaction	Asinger et al. [Justus Liebigs Annalen der Chemie, 1957, vol. 606, p. 67,73] 10.1002/jlac.19576060107
-28.5659	17.866314	C1=CCC=C1,O=Cc1ccccc1,Nc1ccccc1	C1=CC2c3ccccc3NC(c3ccccc3)C2C1	MCR	Grieco reaction	Imrich, Hans-Georg; Conrad, Jürgen; Bubrin, Denis; Beifuss, Uwe [Journal of Organic Chemistry, 2015, vol. 80, # 4, p. 2319 - 2332] DOI:10.1021/jo502882y
20.079378	14.37044	C1=COCCC1,CCOC(=O)CC=O,Nc1cccc([N+](=O)[O-])c1,CCO	CCOC(=O)C(Nc1cccc([N+](=O)[O-])c1)C1CCCOC1OCC	MCR	Povarov 4-CR	Jiménez, O., de la Rosa, G., & Lavilla, R. . Angewandte Chemie International Edition, 44(40), 6521-6525. DOI: 10.1002/anie.200501548
24.310171	14.908472	O=Cc1ccccc1,C#Cc1ccccc1,COc1ccc(N)cc1	COc1ccc(NC(C#Cc2ccccc2)c2ccccc2)cc1	MCR	A3 coupling	10.1039/B312785K New J. Chem., 2004,28, 335-337
4.249752	17.481544	Nc1ccccc1,CCC=O,CC(=O)C(=O)O	CCc1cc(C(=O)O)c2ccccc2n1	MCR	Doebner reaction	Doebner [Justus Liebigs Annalen der Chemie, 1887, vol. 242, p. 265] 10.1002/jlac.18872420302
9.837159	-4.0481353	[C-]#[O+],C1=CC2CCC1C2,C#Cc1ccccc1	O=C1C(c2ccccc2)=CC2C3CCC(C3)C12	MCR	Pauson-Khand reaction	J. Org. Chem. 2001, 66, 9, 3004-3020 10.1021/jo0057708
-2.800774	-3.2724953	C1COCCN1,C=O,OB(O)/C=C/c1ccccc1	C(=C/c1ccccc1)\CN1CCOCC1	ONE-POT	Petasis reaction	Petasis, N. A., & Akritopoulou, I. (1993) Tetrahedron Letters, 34(4), 583-586. doi:10.1016/S0040-4039(00)61625-8
